930830	1000.00	1000.00
940111	1120.34	2247.72	KPCI	ZCAD	RDUS	GTR	KLAC	AMA	KOPN	DSL	ATC	AMER
940112	1121.02	2251.19	KPCI	ZCAD	RDUS	KLAC	KOSS	AMA	DSL	BORL	KNO	KMAG
940113	1120.06	2269.91	KPCI	RDUS	BBN	KLAC	ORCL	IFMX	TWN	AMA	DSL	BORL
940114	1121.90	2296.64	CAVR	VTSS	IDTI	KLAC	BBN	IFMX	TWN	KOPN	DSL	AMA
940117	1122.07	2294.80	CAVR	VTSS	IDTI	KLAC	KOSS	SSAX	BBN	ADBE	IFMX	TWN
940118	1121.64	2298.66	CAVR	INAI	VTSS	VLSI	IDTI	QCOM	KLAC	SSAX	KOSS	ADBE
940119	1121.18	2282.73	SHRP	CAVR	INAI	DRXR	ZCAD	VTSS	VLSI	IDTI	KLAC	LEAF
940120	1122.09	2296.39	SHRP	CAVR	INAI	DRXR	VTSS	VLSI	ALTR	IDTI	KLAC	SPCO
940121	1121.19	2298.30	SHRP	CAVR	INAI	DRXR	VTSS	VLSI	IDTI	KLAC	SPCO	LEAF
940124	1127.26	2589.20	INAI	DRXR	SPCO	ROC	IFMX	TWN	CAL	ADCT	DEBS	HM
940125	1119.05	2579.06	INAI	CAVR	SPCO	ROC	IFMX	SPCL	TWN	NETM	DEBS	ORCL
940126	1126.18	2552.61	INAI	SPCO	SPCL	BBN	IFMX	NETM	MCOM	CN	BORL	SCIS
940127	1131.28	2649.77	ADPT	BORL	PTON	KLY	ALTR	LA	KNO	INAI	SNDT	VWRX
940128	1137.81	2690.93	LCE	BERT	KLU	BORL	IDTI	PTON	KLY	MADGF	ATC	VWRX
940131	1143.95	2691.49	ZCAD	INTS	STA	MADGF	ORCL	ALTR	KLY	PTON	COKE	DMIC
940201	1141.48	2713.69	SCIS	STA	ORCL	AALR	PTON	SMLS	GEN	COKE	FHPC	SNDT
940202	1145.57	2752.29	ELXS	ASTA	STA	SUNW	PTON	COKE	KR	SNDT	TLAB	KMT
940203	1145.00	2824.43	DMIC	ELXS	BBN	BERT	CAVR	AALR	OXHP	STA	AZA	RYO
940204	1115.77	2795.49	KPCI	DMIC	MCOM	KLU	FRAM	ELXS	BBN	NN	KNCI	RYO
940207	1114.70	2808.15	KPCI	BTRE	AMH	DMIC	FRAM	ELXS	BERT	BBN	NN	KOL
940208	1126.38	2818.65	KPCI	DMIC	INMT	ELXS	CMGI	AZA	SNPS	IBAN	KNO	SMLS
940209	1134.22	2787.01	KPCI	BIRD	RDUS	DMIC	INMT	KLU	ELXS	CMGI	MEGZ	AZA
940210	1127.85	2780.74	RDUS	DMIC	INMT	ELXS	KLU	RHR	GENZ	XICO	MEGZ	AZA
940211	1129.03	2762.27	RDUS	DMIC	AMER	INMT	ELXS	KLU	BERT	RHR	GENZ	MEGZ
940214	1129.35	2780.74	RDUS	ASPX	AMER	KOSS	ELXS	CN	KLU	RHR	ASTA	AZA
940215	1130.49	2783.23	IRIC	BTRE	ASPX	AMER	CAVR	RNBO	KOSS	ELXS	KLU	RHR
940216	1136.71	2815.40	IRIC	BTRE	BERT	ASPX	AMER	KOPN	RNBO	MXTR	ELXS	IDTI
940217	1131.89	2796.22	IRIC	ASPX	BTRE	BERT	AMER	KOPN	BBN	QCOM	SCIS	AZA
940218	1130.96	2791.33	LCE	SPCL	IRIC	ZCAD	ASPX	BTRE	BERT	AMER	KOPN	INAI
940222	1134.15	2821.40	ZCAD	ASPX	BTRE	BERT	AMH	KOPN	LEVL	NN	AZA	SMLS
940223	1134.53	2833.04	AMH	KOPN	LCE	INAI	AZA	SMLS	GNTX	ROC	EK	MLT
940224	1120.92	2800.10	AMH	USS	KOPN	AZA	CMGI	DIGI	BERT	CLIX	ALTR	SRA
940225	1123.56	2836.73	AMH	XICO	ATC	ADCT	MDC	USG	CMGI	LEVL	ORCL	COSFF
940228	1125.82	2868.95	GEN	AMH	ADCT	XICO	MDC	SYBS	USG	CMGI	DMIC	BERT
940301	1126.60	2820.31	MCOM	AMH	SPCO	ADCT	MDC	USG	BS	CMGI	PMS	BROD
