930830	1000.00	1000.00
931214	1062.57	989.21	DMIC	USG	SIGM	WDC	LOTS	HEI	PCL	F	C	TWN
931215	1062.74	997.44	SIGM	DMIC	LOTS	TWN	WDC	TAN	HEI	USG	PCL	ASTA
931216	1068.11	1007.92	SIGM	TWN	DMIC	LOTS	WDC	TAN	PCL	CPQ	USG	ASTA
931217	1075.25	1008.44	LOTS	SIGM	DMIC	TAN	WDC	PCL	CPQ	TWN	MENT	ASTA
931220	1074.08	1002.41	LOTS	DMIC	SIGM	TAN	WDC	CPQ	ASTA	USG	MXF	HEI
931221	1067.68	998.45	DMIC	LOTS	SIGM	TAN	WDC	TWN	USG	F	CPQ	MXF
931222	1072.70	1012.71	DMIC	SIGM	TWN	TAN	LOTS	USG	WDC	F	CPQ	BS
931223	1079.80	1002.48	DMIC	SIGM	LOTS	TAN	USG	TWN	MXF	F	ASTA	WDC
931224	1079.80	1002.48	DMIC	SIGM	LOTS	TAN	USG	TWN	MXF	F	ASTA	WDC
931229	1079.80	1002.48	DMIC	SIGM	LOTS	TAN	USG	TWN	MXF	F	ASTA	WDC
931230	1079.80	1002.48	DMIC	SIGM	LOTS	TAN	USG	TWN	MXF	F	ASTA	WDC
931231	1079.80	1002.48	DMIC	SIGM	LOTS	TAN	USG	TWN	MXF	F	ASTA	WDC
940103	1079.70	1002.48	DMIC	SIGM	LOTS	TAN	USG	TWN	MXF	F	ASTA	WDC
940104	1097.73	1007.12	DMIC	ACAD	SIGM	TWN	USG	TAN	LOTS	MXF	BS	CPQ
940105	1105.37	1016.16	BTRE	GTR	KPCI	BBN	RDUS	ZCAD	AMA	SMLS	KMG	DIGI
940106	1107.94	1031.35	KPCI	ZCAD	BBN	AMER	ORCL	SMLS	KMT	KEA	KLY	T
940107	1109.06	1039.59	ZCAD	KEA	BBN	T	TXN	RDUS	SMLS	CTMEQ	LEVL	KNE
940110	1122.08	1052.96	BBN	RDUS	ORCL	KOSS	T	ZCAD	KEA	MI	PSFT	INTS
940111	1120.34	1045.39	ORCL	BBN	MI	T	ZCAD	PSFT	MEOHF	KEA	LOTS	SIGM
940112	1121.02	1048.52	BBN	ORCL	PSFT	MI	ALTR	SUNW	MEOHF	ZCAD	LOTS	SIGM
940113	1120.06	1031.56	BBN	MI	ZCAD	PSFT	KHGI	MEOHF	LOTS	SIGM	WDC	DMIC
940114	1121.90	1035.73	ZCAD	PSFT	BBN	ALTR	MEGZ	MI	LOTS	TXN	SIGM	KHGI
940117	1122.07	1032.56	ZCAD	BBN	MEOHF	MEGZ	MI	LOTS	ALTR	SIGM	WDC	KHGI
940118	1121.64	1022.52	BBN	MI	MEOHF	CSCO	LOTS	SIGM	WDC	DMIC	T	KHGI
940119	1121.18	1022.89	MEOHF	MI	T	KMT	LOTS	SIGM	WDC	DMIC	BBN	KHGI
940120	1122.09	1018.82	MI	T	KMT	MEOHF	LOTS	SIGM	WDC	DMIC	USG	ROK
940121	1121.19	1017.44	BBN	MI	KMT	MEOHF	T	LOTS	SIGM	OXHP	WDC	DMIC
940124	1127.26	1007.43	BBN	KMT	CRW	DMIC	PMS	BS	MEOHF	ASTA	MI	USG
940125	1119.05	984.70	BBN	KMT	MI	DMIC	ASTA	PMS	CPQ	SIGM	USG	PCL
940126	1126.18	985.49	BBN	DMIC	KMT	MI	ASTA	SIGM	USG	BS	OXHP	T
940127	1131.28	997.00	BBN	OXHP	KMT	ASTA	KLU	T	MI	USG	SMLS	DMIC
940128	1137.81	1007.45	OXHP	KMT	BBN	CRW	ASTA	DMIC	T	MI	USG	CPQ
940131	1143.95	1007.62	KMT	OXHP	BBN	ASTA	DMIC	KLU	CPQ	T	WDC	MI
940201	1141.48	997.16	KMT	OXHP	ASTA	KLU	MI	WDC	BBN	ROK	CPQ	DMIC
